Timestamp;Type;Symbole;Action;Prix;Volume;Stop_Loss;Take_Profit;Message;Balance;Equity
2026-01-11 22:04:16;ERROR;;;;;;;Échec de connexion au compte MT5: (-10005, 'IPC timeout');;
2026-01-11 22:35:22;INFO;;;;;;;Connecté au compte MT5: 101181033;;
2026-01-11 22:35:22;INFO;;;;;;;Compte: 101181033, Balance: 10000.0, Equity: 10000.0;10000.0;10000.0
2026-01-11 22:35:22;ERROR;;;;;;;Symbole BTCUSD non trouvé;;
2026-01-11 22:37:20;INFO;;;;;;;Connecté au compte MT5: 101181033;;
2026-01-11 22:37:20;INFO;;;;;;;Compte: 101181033, Balance: 10000.0, Equity: 10000.0;10000.0;10000.0
2026-01-11 22:37:20;ERROR;;;;;;;Symbole Bitcoin non trouvé;;
2026-01-11 22:42:50;INFO;;;;;;;Connecté au compte MT5: 101181033;;
2026-01-11 22:42:50;INFO;;;;;;;Compte: 101181033, Balance: 10000.0, Equity: 10000.0;10000.0;10000.0
2026-01-11 22:42:51;INFO;;;;;;;Session démarrée: 20260111_224251;;
2026-01-11 22:42:51;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:43:06;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:43:21;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:43:36;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:43:51;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:44:06;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:44:21;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:44:36;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:44:51;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:45:06;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
2026-01-11 22:45:21;ERROR;;;;;;;Erreur dans analyze_pairs_opportunity: name 'RATIO_WINDOW' is not defined;;
